date_trunc;relid;schemaname;relname;seq_scan;seq_tup_read;idx_scan;idx_tup_fetch;n_tup_ins;n_tup_upd;n_tup_del;n_tup_hot_upd;n_live_tup;n_dead_tup;last_vacuum;last_autovacuum;last_analyze;last_autoanalyze;vacuum_count;autovacuum_count;analyze_count;autoanalyze_count
2015-09-19 17:22:04-03;2832;pg_toast;pg_toast_2606;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;2834;pg_toast;pg_toast_2609;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;2838;pg_toast;pg_toast_2618;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;2840;pg_toast;pg_toast_2619;0;0;2;2;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;2336;pg_toast;pg_toast_2620;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;2966;pg_toast;pg_toast_2964;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;3598;pg_toast;pg_toast_3596;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2600;pg_catalog;pg_aggregate;0;0;4;4;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2601;pg_catalog;pg_am;10173;10173;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2602;pg_catalog;pg_amop;0;0;669;876;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2603;pg_catalog;pg_amproc;46;92;10448;20665;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2604;pg_catalog;pg_attrdef;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;1249;pg_catalog;pg_attribute;253;1702;23216;59158;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;1261;pg_catalog;pg_auth_members;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;1260;pg_catalog;pg_authid;46;46;1556;1556;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2605;pg_catalog;pg_cast;0;0;1810;133;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;1259;pg_catalog;pg_class;40566;9271911;23529;23423;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;3456;pg_catalog;pg_collation;50;2021;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2606;pg_catalog;pg_constraint;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2607;pg_catalog;pg_conversion;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;1262;pg_catalog;pg_database;30953;309086;125406;125405;0;1;0;0;0;1;;;;;0;0;0;0
2015-09-19 17:22:14-03;2964;pg_catalog;pg_db_role_setting;0;0;126208;10907;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;826;pg_catalog;pg_default_acl;0;0;26;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2608;pg_catalog;pg_depend;0;0;380;379;15;0;0;0;3;12;;;;;0;0;0;0
2015-09-19 17:22:14-03;2609;pg_catalog;pg_description;0;0;1;0;1;0;0;0;1;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;3501;pg_catalog;pg_enum;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;3466;pg_catalog;pg_event_trigger;0;0;13;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;3079;pg_catalog;pg_extension;135;260;2;0;1;0;0;0;1;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2328;pg_catalog;pg_foreign_data_wrapper;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;1417;pg_catalog;pg_foreign_server;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;3118;pg_catalog;pg_foreign_table;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2610;pg_catalog;pg_index;165;609;11762;11893;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2611;pg_catalog;pg_inherits;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2612;pg_catalog;pg_language;0;0;26;26;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2613;pg_catalog;pg_largeobject;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2995;pg_catalog;pg_largeobject_metadata;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2615;pg_catalog;pg_namespace;51;180;150;123;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2616;pg_catalog;pg_opclass;46;46;10608;16692;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2617;pg_catalog;pg_operator;0;0;111;255;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2753;pg_catalog;pg_opfamily;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;1136;pg_catalog;pg_pltemplate;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;1255;pg_catalog;pg_proc;1;2788;710;872;13;0;0;0;1;12;;;;;0;0;0;0
2015-09-19 17:22:14-03;3541;pg_catalog;pg_range;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2618;pg_catalog;pg_rewrite;0;0;51;53;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;3596;pg_catalog;pg_seclabel;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;1214;pg_catalog;pg_shdepend;0;0;17;15;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2396;pg_catalog;pg_shdescription;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;3592;pg_catalog;pg_shseclabel;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2619;pg_catalog;pg_statistic;0;0;526;496;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;1213;pg_catalog;pg_tablespace;0;0;707;707;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2620;pg_catalog;pg_trigger;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;3602;pg_catalog;pg_ts_config;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;3603;pg_catalog;pg_ts_config_map;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;3600;pg_catalog;pg_ts_dict;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;3601;pg_catalog;pg_ts_parser;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;3764;pg_catalog;pg_ts_template;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;1247;pg_catalog;pg_type;0;0;905;888;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;1418;pg_catalog;pg_user_mapping;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;11647;pg_toast;pg_toast_11645;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;11652;pg_toast;pg_toast_11650;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;11657;pg_toast;pg_toast_11655;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;11662;pg_toast;pg_toast_11660;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;11667;pg_toast;pg_toast_11665;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;11672;pg_toast;pg_toast_11670;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;11677;pg_toast;pg_toast_11675;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2836;pg_toast;pg_toast_1255;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2846;pg_toast;pg_toast_2396;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2830;pg_toast;pg_toast_2604;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2832;pg_toast;pg_toast_2606;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2834;pg_toast;pg_toast_2609;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2838;pg_toast;pg_toast_2618;0;0;19;60;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2840;pg_toast;pg_toast_2619;0;0;3;3;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2336;pg_toast;pg_toast_2620;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;2966;pg_toast;pg_toast_2964;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:14-03;3598;pg_toast;pg_toast_3596;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
