date_trunc;checkpoints_timed;checkpoints_req;checkpoint_write_time;checkpoint_sync_time;buffers_checkpoint;buffers_clean;maxwritten_clean;buffers_backend;buffers_backend_fsync;buffers_alloc;stats_reset
2015-09-19 17:22:04-03;2007;0;12393;68;160;0;0;5;0;9560;2015-09-01 21:38:20-03
2015-09-19 17:22:14-03;2007;0;12393;68;160;0;0;5;0;9676;2015-09-01 21:38:20-03
